started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2021-08-01 10:07:53.595000+00:00,2021-08-01 10:45:29.147000+00:00,2255,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288
2021-08-01 10:15:31.331000+00:00,2021-08-01 10:35:09.589000+00:00,1178,358,Leith Walk,Leith Walk opposite Dalmeny Street,55.96517649040763,-3.1761801702076298,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288
2021-08-01 10:16:28.829000+00:00,2021-08-01 11:51:03.427000+00:00,5674,1753,Waitrose Comely Bank,On Fettes Avenue next to Waitrose,55.95953624971772,-3.223434402338853,1038,South Trinity Road,Corner of South Trinity Road and Ferry Road,55.97132539148155,-3.207963567424258
2021-08-01 10:17:09.371000+00:00,2021-08-01 11:49:01.570000+00:00,5512,1753,Waitrose Comely Bank,On Fettes Avenue next to Waitrose,55.95953624971772,-3.223434402338853,1038,South Trinity Road,Corner of South Trinity Road and Ferry Road,55.97132539148155,-3.207963567424258
2021-08-01 10:17:44.693000+00:00,2021-08-01 10:31:30.227000+00:00,825,1038,South Trinity Road,Corner of South Trinity Road and Ferry Road,55.97132539148155,-3.207963567424258,183,Waverley Bridge,near the top of the South ramp,55.951980756193535,-3.191890332557904
2021-08-01 10:22:50.194000+00:00,2021-08-01 11:21:08.446000+00:00,3498,1024,Meadow Place,End of Meadow Place,55.94023763168944,-3.194640214184801,1024,Meadow Place,End of Meadow Place,55.94023763168944,-3.194640214184801
2021-08-01 10:23:13.602000+00:00,2021-08-01 10:38:50.667000+00:00,937,248,Bristo Square,"Bristo Square, near Potterrow",55.94583371599285,-3.189053072075467,1757,Meggetland,Meggetland Sports Complex,55.92758664038103,-3.2336710530441906
2021-08-01 10:28:00.910000+00:00,2021-08-01 10:41:46.483000+00:00,825,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163,262,Canonmills,near Tesco's,55.96280408759764,-3.196283585062929
2021-08-01 10:28:10.598000+00:00,2021-08-01 10:41:41.523000+00:00,810,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163,262,Canonmills,near Tesco's,55.96280408759764,-3.196283585062929
2021-08-01 10:28:16.924000+00:00,2021-08-01 12:20:40.704000+00:00,6743,1770,Ellersly Road,Corner with A8 Corstorphine Road at Western Terrace,55.945045875212095,-3.250881447188249,250,Victoria Quay,Entrance to Scottish Government Office,55.97761715254634,-3.174126319457628
2021-08-01 10:30:50.690000+00:00,2021-08-01 10:41:23.321000+00:00,632,248,Bristo Square,"Bristo Square, near Potterrow",55.94583371599285,-3.189053072075467,1025,Dundee Terrace,Corner of Dundee Street & Dundee Terrace,55.93970989541296,-3.2205889336679547
2021-08-01 10:31:01.144000+00:00,2021-08-01 12:11:48.045000+00:00,6046,246,Royal Commonwealth Pool,Royal Commonwealth Pool Entrance,55.93900024788877,-3.173923554315593,1813,Milton Road - Edinburgh College,Milton Road Campus,55.94406627599551,-3.0985614794416128
2021-08-01 10:40:29.142000+00:00,2021-08-01 10:48:21.114000+00:00,471,1814,Abbeyhill,Near Abbey Mount,55.95524788917224,-3.1722162800950704,256,St Andrews House,beside Jacobs ladder,55.95316433242384,-3.181682340931843
2021-08-01 10:42:24.328000+00:00,2021-08-01 10:47:32.368000+00:00,308,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,1798,Chambers Street,Outside National Museum,55.94760044619224,-3.188919736735216
2021-08-01 10:42:36.638000+00:00,2021-08-01 10:47:56.639000+00:00,320,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,1024,Meadow Place,End of Meadow Place,55.94023763168944,-3.194640214184801
2021-08-01 10:49:09.438000+00:00,2021-08-01 11:08:35.593000+00:00,1166,256,St Andrews House,beside Jacobs ladder,55.95316433242384,-3.181682340931843,1093,Belford Road,Outside Scottish National Gallery of Modern Art,55.95197357717703,-3.226124804664096
2021-08-01 10:49:20.933000+00:00,2021-08-01 10:57:20.847000+00:00,479,258,Stockbridge,Hamilton Place by Dean Bank Lane,55.95856558589723,-3.2080701822277438,1730,East London Street,Outside St Mary's Primary School,55.95995414501485,-3.1871977585476543
2021-08-01 10:49:57.775000+00:00,2021-08-01 10:55:05.852000+00:00,308,249,Fountainbridge,Fountainbridge by Gardner's Crescent,55.94335692764551,-3.2092475016246453,1039,Lothian Road,Outside the Usher Hall,55.94740919920712,-3.2057654971365537
2021-08-01 10:51:14.001000+00:00,2021-08-01 11:16:47.989000+00:00,1533,1096,West Crosscauseway,On island next to Buccleuch Street,55.9438359841253,-3.1849514084976818,1092,Dalry Road Lidl,,55.94179129688128,-3.2224153095965
