,year,local_authority_id,pedal_cycles,longitude,latitude,geometry
28262,2022,29,799,-3.21700988,55.94583429,POINT (-358115.9017185301 7547640.3430542955)
28263,2023,29,785,-3.21700988,55.94583429,POINT (-358115.9017185301 7547640.3430542955)
28264,2024,29,794,-3.21700988,55.94583429,POINT (-358115.9017185301 7547640.3430542955)
29579,2018,36,17,-3.0888497,55.9092769,POINT (-343849.1757409558 7540376.410760042)
29580,2019,36,21,-3.0888497,55.9092769,POINT (-343849.1757409558 7540376.410760042)
29583,2022,36,20,-3.0888497,55.9092769,POINT (-343849.1757409558 7540376.410760042)
29584,2023,36,19,-3.0888497,55.9092769,POINT (-343849.1757409558 7540376.410760042)
29585,2024,36,18,-3.0888497,55.9092769,POINT (-343849.1757409558 7540376.410760042)
29635,2018,36,15,-3.11849975,55.86677952,POINT (-347149.8042089509 7531940.807998261)
29636,2019,36,18,-3.11849975,55.86677952,POINT (-347149.8042089509 7531940.807998261)
29639,2022,36,17,-3.11849975,55.86677952,POINT (-347149.8042089509 7531940.807998261)
29640,2023,36,16,-3.11849975,55.86677952,POINT (-347149.8042089509 7531940.807998261)
29641,2024,36,15,-3.11849975,55.86677952,POINT (-347149.8042089509 7531940.807998261)
30879,2018,29,10,-3.2421782,55.96173817,POINT (-360917.6262850523 7550802.575396899)
30880,2019,29,11,-3.2421782,55.96173817,POINT (-360917.6262850523 7550802.575396899)
30883,2022,29,9,-3.2421782,55.96173817,POINT (-360917.6262850523 7550802.575396899)
30884,2023,29,9,-3.2421782,55.96173817,POINT (-360917.6262850523 7550802.575396899)
30885,2024,29,9,-3.2421782,55.96173817,POINT (-360917.6262850523 7550802.575396899)
30904,2018,29,199,-3.17278964,55.97140306,POINT (-353193.3271189738 7552724.919136627)
30905,2019,29,219,-3.17278964,55.97140306,POINT (-353193.3271189738 7552724.919136627)
30908,2022,29,183,-3.17278964,55.97140306,POINT (-353193.3271189738 7552724.919136627)
30909,2023,29,180,-3.17278964,55.97140306,POINT (-353193.3271189738 7552724.919136627)
30910,2024,29,182,-3.17278964,55.97140306,POINT (-353193.3271189738 7552724.919136627)
31712,2018,29,61,-3.12978556,55.96371829,POINT (-348406.1348313406 7551196.381568556)
31713,2019,29,67,-3.12978556,55.96371829,POINT (-348406.1348313406 7551196.381568556)
31716,2022,29,65,-3.12978556,55.96371829,POINT (-348406.1348313406 7551196.381568556)
31717,2023,29,64,-3.12978556,55.96371829,POINT (-348406.1348313406 7551196.381568556)
31718,2024,29,65,-3.12978556,55.96371829,POINT (-348406.1348313406 7551196.381568556)
32012,2018,29,134,-3.16796114,55.91753702,POINT (-352655.8209576785 7542017.09271983)
32013,2019,29,147,-3.16796114,55.91753702,POINT (-352655.8209576785 7542017.09271983)
32016,2022,29,123,-3.16796114,55.91753702,POINT (-352655.8209576785 7542017.09271983)
32017,2023,29,121,-3.16796114,55.91753702,POINT (-352655.8209576785 7542017.09271983)
32018,2024,29,122,-3.16796114,55.91753702,POINT (-352655.8209576785 7542017.09271983)
32182,2018,29,308,-3.20999811,55.93150876,POINT (-357335.3550525706 7544793.051937278)
32183,2019,29,858,-3.20999811,55.93150876,POINT (-357335.3550525706 7544793.051937278)
32186,2022,29,717,-3.20999811,55.93150876,POINT (-357335.3550525706 7544793.051937278)
32187,2023,29,705,-3.20999811,55.93150876,POINT (-357335.3550525706 7544793.051937278)
32188,2024,29,714,-3.20999811,55.93150876,POINT (-357335.3550525706 7544793.051937278)
32232,2018,36,34,-3.19289724,55.87506664,POINT (-355431.69491204864 7533585.051707454)
